feature,importance
ichimoku_span_a,0.3509215
ichimoku_kijun,0.12924263
ichimoku_tenkan,0.103453174
mid_price,0.09398556
obv,0.07919782
wma_14,0.07327451
sma_20,0.04553471
ema_12,0.041351628
bb_lower,0.028850306
ichimoku_span_b,0.027465522
bb_upper,0.022850398
atr,0.0038723326
fib_pct,0.0
adx,0.0
bb_width,0.0
wrobv,0.0
stoch_k,0.0
stoch_d,0.0
cci,0.0
macd_signal,0.0
