feature,importance
Volume,0.3781884
mid_price,0.22743566
ichimoku_kijun,0.19541937
atr,0.09025778
bb_width,0.0524159
macd,0.035983317
wrobv,0.012283242
stoch_k,0.004569414
cci,0.0034469236
fib_pct,0.0
adx,0.0
rsi,0.0
