feature,importance
mid_price,0.9007330378733387
ichimoku_kijun,0.09916071059569091
adx,2.3988335650750007e-05
rsi,1.6013848739969193e-05
fib_pct,1.5645797365194407e-05
bb_width,1.44743129451421e-05
macd,1.059045205202627e-05
atr,1.0090155698221184e-05
Volume,9.734118689091845e-06
cci,3.510930845504334e-06
stoch_k,2.203578984356111e-06
wrobv,0.0
